Leverage_Ratio,Trial,Method,Param_Error
0.15,19,Lf_dual,0.03291890645228342
0.15,19,OLS,0.9894182104951594
0.15,19,Huber,0.24835956232463052
0.15,19,Cauchy,0.9894182104951594
0.15,19,Barron,0.7286528515624885
0.2,0,Lf_dual,0.04821298364956044
0.2,0,OLS,1.4491588728388767
0.2,0,Huber,0.47552988497233645
0.2,0,Cauchy,1.4491588728388767
0.2,0,Barron,1.329550726644804
0.2,1,Lf_dual,0.057932735447205945
0.2,1,OLS,1.5586399886134548
0.2,1,Huber,1.5586399886134548
0.2,1,Cauchy,1.5586399886134548
0.2,1,Barron,0.9370838241996616
0.2,2,Lf_dual,0.04713430385477384
0.2,2,OLS,0.8083248760944797
0.2,2,Huber,0.16836819587299737
0.2,2,Cauchy,0.8083248760944797
0.2,2,Barron,1.441217460225201
0.2,3,Lf_dual,0.03693502636589972
0.2,3,OLS,0.9746835751425851
0.2,3,Huber,0.3981614808651059
0.2,3,Cauchy,0.9746835751425851
0.2,3,Barron,0.703922911283588
0.2,4,Lf_dual,0.040786315016794555
0.2,4,OLS,0.7580672099581838
0.2,4,Huber,0.7580672099581838
0.2,4,Cauchy,0.7580672099581838
0.2,4,Barron,0.46250526299620515
0.2,5,Lf_dual,0.12553631750085983
0.2,5,OLS,1.287761127237532
0.2,5,Huber,0.6596394243054752
0.2,5,Cauchy,1.287761127237532
0.2,5,Barron,1.4177341991241215
0.2,6,Lf_dual,0.10339193081761086
0.2,6,OLS,1.2299984193047533
0.2,6,Huber,1.2299984193047533
0.2,6,Cauchy,1.2299984193047533
0.2,6,Barron,1.3746017279415608
0.2,7,Lf_dual,0.10704457745335386
0.2,7,OLS,1.2731039999504574
0.2,7,Huber,0.7277328395792643
0.2,7,Cauchy,1.2731039999504574
0.2,7,Barron,1.5397525093196387
0.2,8,Lf_dual,0.05252287825559653
0.2,8,OLS,0.9798571055306079
0.2,8,Huber,0.17996807687160837
0.2,8,Cauchy,0.9798571055306079
0.2,8,Barron,0.877077016837196
0.2,9,Lf_dual,0.13221660328296242
0.2,9,OLS,1.2407577247576362
0.2,9,Huber,0.324309264893542
0.2,9,Cauchy,1.2407577247576362
0.2,9,Barron,0.8336220190943082
0.2,10,Lf_dual,0.05363390100496402
0.2,10,OLS,0.5690887047336872
0.2,10,Huber,0.20212740138679866
0.2,10,Cauchy,0.5690887047336872
0.2,10,Barron,0.735568197129718
0.2,11,Lf_dual,0.06300199083463334
0.2,11,OLS,1.2274098740104677
0.2,11,Huber,1.2274098740104677
0.2,11,Cauchy,1.2274098740104677
0.2,11,Barron,0.9057474501275833
0.2,12,Lf_dual,0.03527221341517255
0.2,12,OLS,1.2836114792216196
0.2,12,Huber,1.2836114792216196
0.2,12,Cauchy,1.2836114792216196
0.2,12,Barron,1.6107852497522648
0.2,13,Lf_dual,0.03635219444129155
0.2,13,OLS,1.0466640516521202
0.2,13,Huber,0.3146774465238477
0.2,13,Cauchy,1.0466640516521202
0.2,13,Barron,0.5476154156149904
0.2,14,Lf_dual,0.02677901667171165
0.2,14,OLS,0.6621241675430312
0.2,14,Huber,0.6621241675430312
0.2,14,Cauchy,0.6621241675430312
0.2,14,Barron,0.6006078944281396
0.2,15,Lf_dual,0.028861244379984174
0.2,15,OLS,1.244516589273282
0.2,15,Huber,1.244516589273282
0.2,15,Cauchy,1.244516589273282
0.2,15,Barron,0.7836478081081049
0.2,16,Lf_dual,0.051347304531007526
0.2,16,OLS,0.53221175252204
0.2,16,Huber,0.036940443575319816
0.2,16,Cauchy,0.53221175252204
0.2,16,Barron,0.5257601827138141
0.2,17,Lf_dual,0.044857553263766975
0.2,17,OLS,1.4405976363515973
0.2,17,Huber,0.07021851061265315
0.2,17,Cauchy,1.4405976363515973
0.2,17,Barron,1.0049842920752057
0.2,18,Lf_dual,0.03882174783328191
0.2,18,OLS,0.8672810247221472
0.2,18,Huber,0.8672810247221472
0.2,18,Cauchy,0.8672810247221472
0.2,18,Barron,0.7212516535913261
0.2,19,Lf_dual,0.24793306545152377
0.2,19,OLS,1.123361293937854
0.2,19,Huber,1.123361293937854
0.2,19,Cauchy,1.123361293937854
0.2,19,Barron,1.701800481260224
