n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,8.0,0.2,13,Huber,1.0722984533553124
100,5,8.0,0.2,13,Cauchy,1.3534008223815537
100,5,8.0,0.2,13,Barron,0.8897482063135549
100,5,8.0,0.2,14,Lf_dual,0.0696659422401744
100,5,8.0,0.2,14,OLS,1.014785138349504
100,5,8.0,0.2,14,Huber,0.8717011618297299
100,5,8.0,0.2,14,Cauchy,1.014785138349504
100,5,8.0,0.2,14,Barron,1.169984397183949
100,5,8.0,0.2,15,Lf_dual,0.07246692772736012
100,5,8.0,0.2,15,OLS,0.590503537863644
100,5,8.0,0.2,15,Huber,0.08092864064567
100,5,8.0,0.2,15,Cauchy,0.590503537863644
100,5,8.0,0.2,15,Barron,0.7336191334190048
100,5,8.0,0.2,16,Lf_dual,0.07598884762058421
100,5,8.0,0.2,16,OLS,1.4610575177656915
100,5,8.0,0.2,16,Huber,1.4610575177656915
100,5,8.0,0.2,16,Cauchy,1.4610575177656915
100,5,8.0,0.2,16,Barron,0.5344650828209793
100,5,8.0,0.2,17,Lf_dual,0.04365252345265334
100,5,8.0,0.2,17,OLS,1.041943317635712
100,5,8.0,0.2,17,Huber,0.8839981791516847
100,5,8.0,0.2,17,Cauchy,1.041943317635712
100,5,8.0,0.2,17,Barron,1.207349309913304
100,5,8.0,0.2,18,Lf_dual,0.0446274892101718
100,5,8.0,0.2,18,OLS,1.0424511044606244
100,5,8.0,0.2,18,Huber,0.8542352059971208
100,5,8.0,0.2,18,Cauchy,1.0424511044606244
100,5,8.0,0.2,18,Barron,0.7697737641943418
100,5,8.0,0.2,19,Lf_dual,0.5050099048975287
100,5,8.0,0.2,19,OLS,1.9394187249753534
100,5,8.0,0.2,19,Huber,0.2205880101285077
100,5,8.0,0.2,19,Cauchy,0.6877894401824193
100,5,8.0,0.2,19,Barron,1.1323387242147986
100,5,12.0,0.1,0,Lf_dual,0.02866575355958793
100,5,12.0,0.1,0,OLS,1.1181939403726142
100,5,12.0,0.1,0,Huber,1.1181939403726142
100,5,12.0,0.1,0,Cauchy,1.1181939403726142
100,5,12.0,0.1,0,Barron,0.7612138881314402
100,5,12.0,0.1,1,Lf_dual,0.3153540934050116
100,5,12.0,0.1,1,OLS,1.4037562639847765
100,5,12.0,0.1,1,Huber,0.036028471594293204
100,5,12.0,0.1,1,Cauchy,0.796779034205233
100,5,12.0,0.1,1,Barron,0.43449300506443855
100,5,12.0,0.1,2,Lf_dual,0.4056675309499104
100,5,12.0,0.1,2,OLS,1.9907115385232301
100,5,12.0,0.1,2,Huber,0.029213810971361
100,5,12.0,0.1,2,Cauchy,1.0479277464860226
100,5,12.0,0.1,2,Barron,0.652250946040692
100,5,12.0,0.1,3,Lf_dual,0.05327259192704168
100,5,12.0,0.1,3,OLS,2.0476149361048637
100,5,12.0,0.1,3,Huber,0.06862003056756232
100,5,12.0,0.1,3,Cauchy,0.31284638565846457
100,5,12.0,0.1,3,Barron,0.293913008908681
100,5,12.0,0.1,4,Lf_dual,0.05327272125439165
100,5,12.0,0.1,4,OLS,1.5438426415312068
100,5,12.0,0.1,4,Huber,1.1590694227724267
100,5,12.0,0.1,4,Cauchy,1.5438426415312068
100,5,12.0,0.1,4,Barron,1.5487399519662424
100,5,12.0,0.1,5,Lf_dual,1.031528191032886
100,5,12.0,0.1,5,OLS,1.269206312549545
100,5,12.0,0.1,5,Huber,0.7035170882045604
100,5,12.0,0.1,5,Cauchy,1.269206312549545
100,5,12.0,0.1,5,Barron,1.379041690770582
100,5,12.0,0.1,6,Lf_dual,0.03365767008594377
100,5,12.0,0.1,6,OLS,1.607874947629122
100,5,12.0,0.1,6,Huber,0.030289593911838542
100,5,12.0,0.1,6,Cauchy,1.607874947629122
100,5,12.0,0.1,6,Barron,1.283795655586071
100,5,12.0,0.1,7,Lf_dual,0.0426361829073508
100,5,12.0,0.1,7,OLS,3.867517942553278
100,5,12.0,0.1,7,Huber,2.944004451270403
100,5,12.0,0.1,7,Cauchy,1.8434764501824399
100,5,12.0,0.1,7,Barron,1.5855580984640179
100,5,12.0,0.1,8,Lf_dual,0.04598868972249054
100,5,12.0,0.1,8,OLS,1.2906933013274888
100,5,12.0,0.1,8,Huber,0.03247865151596506
100,5,12.0,0.1,8,Cauchy,0.3514283194438738
100,5,12.0,0.1,8,Barron,0.40324351991806673
100,5,12.0,0.1,9,Lf_dual,0.05393158868340871
100,5,12.0,0.1,9,OLS,1.1585800681744294
100,5,12.0,0.1,9,Huber,0.3986986468884768
100,5,12.0,0.1,9,Cauchy,1.1585800681744294
100,5,12.0,0.1,9,Barron,0.8548357203254967
100,5,12.0,0.1,10,Lf_dual,0.06593388454275391
100,5,12.0,0.1,10,OLS,0.78976913497704
100,5,12.0,0.1,10,Huber,0.07867036587161537
100,5,12.0,0.1,10,Cauchy,0.78976913497704
100,5,12.0,0.1,10,Barron,0.8733141943725107
100,5,12.0,0.1,11,Lf_dual,0.03766281843165848
100,5,12.0,0.1,11,OLS,1.3652112954519477
100,5,12.0,0.1,11,Huber,1.3652112954519477
100,5,12.0,0.1,11,Cauchy,1.3652112954519477
100,5,12.0,0.1,11,Barron,1.163255265305885
100,5,12.0,0.1,12,Lf_dual,0.045106804416816526
100,5,12.0,0.1,12,OLS,1.389548924170296
100,5,12.0,0.1,12,Huber,0.030862852146442212
100,5,12.0,0.1,12,Cauchy,1.389548924170296
100,5,12.0,0.1,12,Barron,1.0809221109082785
100,5,12.0,0.1,13,Lf_dual,0.03929176622022708
100,5,12.0,0.1,13,OLS,1.8182275357684803
100,5,12.0,0.1,13,Huber,0.6325109028724369
100,5,12.0,0.1,13,Cauchy,1.1578199898292685
100,5,12.0,0.1,13,Barron,1.1779207975174144
100,5,12.0,0.1,14,Lf_dual,0.032839286123020416
100,5,12.0,0.1,14,OLS,0.5502451897185603
100,5,12.0,0.1,14,Huber,0.5502451897185603
100,5,12.0,0.1,14,Cauchy,0.5502451897185603
100,5,12.0,0.1,14,Barron,0.5422826517765289
100,5,12.0,0.1,15,Lf_dual,0.03556299202802612
100,5,12.0,0.1,15,OLS,1.1510954572010983
100,5,12.0,0.1,15,Huber,0.03484717931751359
100,5,12.0,0.1,15,Cauchy,1.1510954572010983
100,5,12.0,0.1,15,Barron,0.6727891247959709
100,5,12.0,0.1,16,Lf_dual,0.6844251057954213
100,5,12.0,0.1,16,OLS,1.4717119441800282
100,5,12.0,0.1,16,Huber,0.5852929001654863
100,5,12.0,0.1,16,Cauchy,1.4717119441800282
100,5,12.0,0.1,16,Barron,2.078296503197217
100,5,12.0,0.1,17,Lf_dual,0.24973156727105525
100,5,12.0,0.1,17,OLS,2.028283370203025
100,5,12.0,0.1,17,Huber,0.3011232674686245
100,5,12.0,0.1,17,Cauchy,2.028283370203025
100,5,12.0,0.1,17,Barron,0.33880953075328174
100,5,12.0,0.1,18,Lf_dual,0.04318660493362102
100,5,12.0,0.1,18,OLS,0.9395480556281379
100,5,12.0,0.1,18,Huber,0.04252440018768707
100,5,12.0,0.1,18,Cauchy,0.9395480556281379
100,5,12.0,0.1,18,Barron,1.2027386152312973
