Dataset,Outlier_Frac,Trial,re_new,re_pub
Gauss2,0.0,10,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,11,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,12,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,13,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,14,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,15,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,16,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,17,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,18,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,19,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.1,0,0.01641689590051434,0.0164168959005143
Gauss2,0.1,1,0.02716859272127932,0.0271685927212793
Gauss2,0.1,2,0.02010504202154902,0.020105042021549
Gauss2,0.1,3,0.014347548782358431,0.0143475487823584
Gauss2,0.1,4,0.06819600003953989,0.0681960000395398
Gauss2,0.1,5,0.03606257531202826,0.0360625753120282
Gauss2,0.1,6,0.029042917534642016,0.029042917534642
Gauss2,0.1,7,0.02420139430460451,0.0242013943046045
Gauss2,0.1,8,0.040489866133025604,0.0404898661330256
Gauss2,0.1,9,0.05387654099465738,0.0538765409946573
Gauss2,0.1,10,0.03186198459071217,0.0318619845907121
Gauss2,0.1,11,0.027584114834271447,0.0275841148342714
Gauss2,0.1,12,0.04670047728971955,0.0467004772897196
Gauss2,0.1,13,0.052258967890613336,0.0522589678906133
Gauss2,0.1,14,0.03139331273437246,0.0313933127343724
Gauss2,0.1,15,0.021115346700673845,0.0211153467006738
Gauss2,0.1,16,0.018642022272603483,0.0186420222726034
Gauss2,0.1,17,0.02421377874936795,0.024213778749368
Gauss2,0.1,18,0.0251807547534951,0.025180754753495
Gauss2,0.1,19,0.10086397953013487,0.1008639795301348
